reconstruction_loss,quantization_name,beta,encoder offset,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,codebook offset,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MSELoss,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MSELoss,best/codebook_entropy
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,5.0,0.012312989681959152,1.2323278188705444,0.014469770714640617,0.014469770714640617,0.0,0.0,0.0,0.0,0.010291606187820435,1.5411181449890137
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,5.0,0.010285794734954834,1.5884580612182617,0.007475599646568298,0.007475599646568298,0.0,0.0,0.0,0.0,0.010220719501376152,1.5871491432189941
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,6.0,0.011497508734464645,2.2182509899139404,0.0049924347549676895,0.0049924347549676895,0.0,0.0,0.0,0.0,0.010708853602409363,2.2790374755859375
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,6.0,0.01208820566534996,1.234262466430664,0.009790639393031597,0.009790639393031597,0.0,0.0,0.0,0.0,0.01073930598795414,1.4917097091674805
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,6.0,0.010246602818369865,1.5824488401412964,0.006843166891485453,0.006843166891485453,0.0,0.0,0.0,0.0,0.010238993912935257,1.581681251525879
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,1.0,2.0,512.0,,,,1.0,0.0,0.004319445230066776,6.0749077796936035,0.0005540278507396579,0.0005540278507396579,0.0,0.0,0.0,0.0,0.0042851767502725124,6.060996055603027
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,1.0,2.0,512.0,,,,1.0,0.0,0.0042942846193909645,6.068082809448242,0.0005380279617384076,0.0005380279617384076,0.0,0.0,0.0,0.0,0.004271768499165773,6.079370021820068
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,1.0,2.0,512.0,,,,1.0,0.0,0.004300373140722513,6.062273025512695,0.0005428775912150741,0.0005428775912150741,0.0,0.0,0.0,0.0,0.004280295222997665,6.069211006164551
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,2.0,2.0,512.0,,,,1.0,0.0,0.004592203069478273,6.0453948974609375,0.0005613683606497943,0.0005613683606497943,0.0,0.0,0.0,0.0,0.0043444703333079815,6.067191123962402
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,2.0,2.0,512.0,,,,1.0,0.0,0.004442623350769281,6.047256946563721,0.0005516896490007639,0.0005516896490007639,0.0,0.0,0.0,0.0,0.0043016960844397545,6.0492143630981445
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,2.0,2.0,512.0,,,,1.0,0.0,0.004661548417061567,6.083467483520508,0.0005915613146498799,0.0005915613146498799,0.0,0.0,0.0,0.0,0.004322470165789127,6.063063621520996
